cal_sig_date,sig,r_get_close,index_code
2022-05-23,-1,0.005792,000300
2022-05-24,-1,0.023391,000300
2022-05-25,0,-0.006068,000300
2022-05-26,0,-0.0013297506012784,000300
2022-05-23,0,0,000905
2022-05-24,0,0,000905
2022-05-25,0,0,000905
2022-05-26,0,0,000905
2022-05-19,0,0,RTY
2022-05-20,0,0,RTY
2022-05-23,0,0,RTY
2022-05-24,0,0,RTY
2022-05-20,-1,0.000146,SPX
2022-05-23,1,-0.018555,SPX
2022-05-24,1,-0.008121,SPX
2022-05-25,1,0.009451,SPX
2022-05-20,-1,-0.0114913241776442,as51
2022-05-23,-1,-0.000454822801036814,as51
2022-05-24,-1,0.00280603002703916,as51
2022-05-25,-1,-0.00370467524123863,as51
2022-05-20,0,0,hsce
2022-05-23,0,0,hsce
2022-05-24,0,0,hsce
2022-05-25,0,0,hsce
2022-05-20,1,0.0186154202361659,kosdaq
2022-05-23,1,0.00421648406600905,kosdaq
2022-05-24,1,-0.0209599474869566,kosdaq
2022-05-25,1,0.00880853572543261,kosdaq
2022-05-20,1,0.0176261507982753,kospi
2022-05-23,1,0.00300609808468599,kospi
2022-05-24,1,-0.0178683564537306,kospi
2022-05-25,1,0.00441757730760295,kospi
2022-05-20,0,0,msci
2022-05-23,0,0,msci
2022-05-24,0,0,msci
2022-05-25,0,0,msci
2022-05-19,1,-0.00441806460266747,ndx
2022-05-20,1,-0.00336825086732462,ndx
2022-05-23,1,0.0167883335023149,ndx
2022-05-24,1,-0.0219788438047913,ndx
2022-05-20,1,0.0288942021835112,nifty
2022-05-23,1,-0.00316607443656169,nifty
2022-05-24,1,-0.00551968275700443,nifty
2022-05-25,1,-0.006164264629276,nifty
2022-05-20,0,0,nky
2022-05-23,0,0,nky
2022-05-24,0,0,nky
2022-05-25,0,0,nky
2022-05-20,0,0,set50
2022-05-23,0,0,set50
2022-05-24,-1,0,set50
2022-05-25,-1,0.00318211074494478,set50
2022-05-19,0,0,sx5e
2022-05-20,0,0,sx5e
2022-05-23,0,0,sx5e
2022-05-24,0,0,sx5e
2022-05-20,0,0,topix
2022-05-23,0,0,topix
2022-05-24,0,0,topix
2022-05-25,0,0,topix
2022-05-20,1,0.00777139004887539,twse
2022-05-23,1,0.000718497596749357,twse
2022-05-24,1,-0.0119333514891931,twse
2022-05-25,1,0.00879500864466665,twse
2022-05-19,0,0,ukx
2022-05-20,0,0,ukx
2022-05-23,0,0,ukx
2022-05-24,0,0,ukx
2022-05-20,0,0,xin9i
2022-05-23,0,0,xin9i
2022-05-24,0,0,xin9i
2022-05-25,0,0,xin9i
