cal_sig_date,sig,r_get_close,index_code
2022-04-07,0,0,000300
2022-04-08,0,0,000300
2022-04-11,0,0,000300
2022-04-12,0,0,000300
2022-04-07,1,-0.02129,000905
2022-04-08,1,0.000406,000905
2022-04-11,1,-0.031205,000905
2022-04-12,1,0.016089,000905
2022-04-06,0,0,RTY
2022-04-07,0,0,RTY
2022-04-08,0,0,RTY
2022-04-11,0,0,RTY
2022-04-06,1,-0.009717,SPX
2022-04-07,1,0.004253,SPX
2022-04-08,1,-0.002651,SPX
2022-04-11,1,-0.016877,SPX
2022-04-07,0,0,as51
2022-04-08,0,0,as51
2022-04-11,0,0,as51
2022-04-12,0,0,as51
2022-04-07,-1,0.0148853958574283,hsce
2022-04-08,-1,0.000689743500801865,hsce
2022-04-11,-1,0.03763231989875,hsce
2022-04-12,-1,-0.00776029376471365,hsce
2022-04-07,-1,0.0160953421055421,kosdaq
2022-04-08,-1,-0.00730642814806837,kosdaq
2022-04-11,-1,0.0138007766948745,kosdaq
2022-04-12,-1,0.00868923771194252,kosdaq
2022-04-07,-1,0.0146256336389573,kospi
2022-04-08,-1,-0.000787113822280805,kospi
2022-04-11,-1,0.000646049268279048,kospi
2022-04-12,-1,0.00972511102366624,kospi
2022-04-07,0,0,msci
2022-04-08,0,0,msci
2022-04-11,0,0,msci
2022-04-12,0,0,msci
2022-04-06,0,0,ndx
2022-04-07,0,0,ndx
2022-04-08,0,0,ndx
2022-04-11,0,0,ndx
2022-04-07,0,0,nifty
2022-04-08,0,0,nifty
2022-04-11,0,0,nifty
2022-04-12,0,0,nifty
2022-04-07,0,0,nky
2022-04-08,0,0,nky
2022-04-11,0,0,nky
2022-04-12,0,0,nky
2022-04-07,1,-0.0128069557043826,set50
2022-04-08,1,-0.00158692374831393,set50
2022-04-11,1,-0.00360605578955731,set50
2022-04-12,1,-0.00451640561908651,set50
2022-04-06,1,0,sx5e
2022-04-07,1,-0.00907963226516107,sx5e
2022-04-08,1,0.0148237379701788,sx5e
2022-04-11,0,-0.00485956504948981,sx5e
2022-04-07,1,-0.0156065546489436,topix
2022-04-08,1,0.00205504781023813,topix
2022-04-11,1,-0.00376952641040906,topix
2022-04-12,1,-0.0137645265764907,topix
2022-04-07,-1,0.0196261948922815,twse
2022-04-08,-1,-0.00616464671160633,twse
2022-04-11,0,0.0136596372472445,twse
2022-04-12,0,0.002298768212853,twse
2022-04-06,0,0,ukx
2022-04-07,0,0,ukx
2022-04-08,0,0,ukx
2022-04-11,0,0,ukx
2022-04-07,-1,0.00838332784467577,xin9i
2022-04-08,-1,-0.00581903242341775,xin9i
2022-04-11,-1,0.0260269744539432,xin9i
2022-04-12,-1,-0.022344886543691,xin9i
