cal_sig_date,sig,r_get_close,index_code
2022-04-11,0,0,000300
2022-04-12,0,0,000300
2022-04-13,0,0,000300
2022-04-14,0,0,000300
2022-04-11,1,-0.031205,000905
2022-04-12,1,0.016089,000905
2022-04-13,1,-0.013478,000905
2022-04-14,1,0.013594,000905
2022-04-08,0,0,RTY
2022-04-11,0,0,RTY
2022-04-12,1,0,RTY
2022-04-13,1,0.0189053992039572,RTY
2022-04-08,1,-0.002651,SPX
2022-04-11,1,-0.016877,SPX
2022-04-12,1,-0.003418,SPX
2022-04-13,1,0.011175,SPX
2022-04-11,0,0,as51
2022-04-12,0,0,as51
2022-04-13,0,0,as51
2022-04-14,0,0,as51
2022-04-11,-1,0.03763231989875,hsce
2022-04-12,-1,-0.00776029376471365,hsce
2022-04-13,-1,-0.00693653872361621,hsce
2022-04-14,-1,-0.00967351213016854,hsce
2022-04-11,-1,0.0138007766948745,kosdaq
2022-04-12,-1,0.00868923771194252,kosdaq
2022-04-13,-1,-0.0147622069991902,kosdaq
2022-04-14,-1,-0.00075487161790555,kosdaq
2022-04-11,-1,0.000646049268279048,kospi
2022-04-12,-1,0.00972511102366624,kospi
2022-04-13,0,-0.0189600363306086,kospi
2022-04-14,0,-0.000940668523676835,kospi
2022-04-11,0,0,msci
2022-04-12,0,0,msci
2022-04-13,0,0,msci
2022-04-14,0,0,msci
2022-04-08,0,0,ndx
2022-04-11,0,0,ndx
2022-04-12,0,0,ndx
2022-04-13,0,0,ndx
2022-04-11,0,0,nifty
2022-04-12,0,0,nifty
2022-04-13,0,0,nifty
2022-04-14,0,0,nifty
2022-04-11,0,0,nky
2022-04-12,0,0,nky
2022-04-13,0,0,nky
2022-04-14,0,0,nky
2022-04-11,1,-0.00360605578955731,set50
2022-04-12,1,-0.00451640561908651,set50
2022-04-13,1,-0.00194295328899929,set50
2022-04-14,1,0,set50
2022-04-08,1,0.0148237379701788,sx5e
2022-04-11,0,-0.00485956504948981,sx5e
2022-04-12,0,-0.00553282929039846,sx5e
2022-04-13,0,0,sx5e
2022-04-11,1,-0.00376952641040906,topix
2022-04-12,1,-0.0137645265764907,topix
2022-04-13,1,0.0141819996458523,topix
2022-04-14,1,0.00951821635291994,topix
2022-04-11,0,0.0136596372472445,twse
2022-04-12,0,0.002298768212853,twse
2022-04-13,0,0,twse
2022-04-14,0,0,twse
2022-04-08,0,0,ukx
2022-04-11,0,0,ukx
2022-04-12,0,0,ukx
2022-04-13,0,0,ukx
2022-04-11,-1,0.0260269744539432,xin9i
2022-04-12,-1,-0.022344886543691,xin9i
2022-04-13,-1,0.00361151359183398,xin9i
2022-04-14,-1,-0.0127910173489025,xin9i
